Name,Cost,Rent,Monopoly,One_House,Two_Houses,Three_Houses,Four_Houses,Hotel,Mortgage,House_Cost,Mortgage_Cost
Old Kent Road, 50, 2, 4, 10, 30, 90, 160, 250, 50, 50, 30
Whitechapel Road, 60, 4, 8, 20, 60, 180, 320, 450, 50, 50, 30
The Angel, Islington, 100, 6, 12, 30, 90, 270, 400, 550, 50, 50, 50
Euston Road, 100, 6, 12, 30, 90, 270, 400, 550, 50, 50, 50
Pentonville Road, 120, 8, 16, 40, 100, 300, 450, 600, 50, 50, 60
Pall Mall, 140, 10, 20, 50, 150, 450, 625, 750, 100, 100, 70
Whitehall, 140, 10, 20, 50, 150, 450, 625, 750, 100, 100, 70
Northumberland Avenue, 160, 12, 24, 60, 180, 500, 700, 900, 100, 100, 80
Bow Street, 180, 14, 28, 70, 200, 550, 750, 950, 100, 100, 90
Marlborough Street, 180, 14, 28, 70, 200, 550, 750, 950, 100, 100, 90
Vine Street, 200, 16, 32, 80, 220, 600, 800, 1000, 100, 100, 100
Strand, 220, 18, 36, 90, 250, 700, 875, 1050, 150, 150, 110
Fleet Street, 220, 18, 36, 90, 250, 700, 875, 1050, 150, 150, 110
Trafalgar Square, 240, 20, 40, 100, 300, 750, 925, 1100, 150, 150, 120
Leicester Square, 260, 22, 44, 110, 330, 800, 975, 1150, 150, 150, 130
Coventry Street, 260, 22, 44, 110, 330, 800, 975, 1150, 150, 150, 130
Piccadilly, 280, 24, 48, 120, 360, 850, 1025, 1200, 150, 150, 140
Regent Street, 300, 26, 52, 130, 390, 900, 1100, 1275, 200, 200, 150
Oxford Street, 300, 26, 52, 130, 390, 900, 1100, 1275, 200, 200, 150
Bond Street, 320, 28, 56, 150, 450, 1000, 1200, 1400, 200, 200, 160
Park Lane, 350, 35, 70, 175, 500, 1100, 1300, 1500, 200, 200, 175
Mayfair, 400, 50, 100, 200, 600, 1400, 1700, 2000, 200, 200, 200 
